"HolderAddress","Balance","PendingBalanceUpdate"
"0x071b8bc181ae7cb03f5faece9b5b8b25be9b0982","4999956.0101003","No"
"0x0991d02f28a5283338e9591cbf7de2eb25da46cd","648977.93915322","No"
"0x1488ec6c55243e7130b756949b0238693c7e382b","64682.23354307","No"
"0x2ae595eddb54f4234b10cd31fc00790e379fc6b1","2974573.81672391","No"
"0x32a59b87352e980dd6ab1baf462696d28e63525d","3506.8199397","No"
"0x34d43658b4a04f60d0da54226cf652aa8b96adfa","250798.90532141","No"
"0x434e8971592e898316dc8b7a39d6f9be03ed5f66","28433.73933355","No"
"0x477573f212a7bdd5f7c12889bd1ad0aa44fb82aa","1073819826.42115","No"
"0x5fb6e7e6cd299449a02fe47cccd5cb70ff9dc632","79002.57125788","No"
"0x7a8edc710ddeadddb0b539de83f3a306a621e823","23398544.5690681","No"
"0x7ae3af6f8c3c792e701a0343064579ecdbdbcd27","19460.99333301","No"
"0x927772f3b1016acfbe00e5d6fd7d362f3960ded1","1324988.37328394","No"
"0xb1f76a4ad12eceb5e044e01544b8ef13d05446ae","50","No"
"0xc16414ac1fedfdac4f8a09674d994e1bbb9d7113","312498.3043306","No"
"0xf71d161fdc3895f21612d79f15aa819b7a3d296a","279312.48134978","No"
"0xfca32b89d0981e69c8dadcdcc0668b0e01c810cf","9162969.22484337","No"
