"HolderAddress","Balance","PendingBalanceUpdate"
"0x0b013cca6335dd62353ca60ecec9c39b5227d270","7.77709723","No"
"0x12429f1842c56e2116f93cbd6cf09418e49abcd7","475.80086375","No"
"0x193991827e291599a262e7fa7d212ff1ae31d110","20.24280172","No"
"0x195506d922d359bc4f6ed052712ef1383033af09","208.88532624","No"
"0x2170329ecef6026999070d6188e5a16d2b489411","17.83893071","No"
"0x27eab7d3ce4c84b9afb0324deb7c56bd72fc2fa0","409.30487686","No"
"0x2ac562403e4e1776edb516c768384eefa99ebb9d","2.46129481","No"
"0x2ac685c6c793e4c85e37905377e1b8bcbdd03f13","249.54394379","No"
"0x2ae595eddb54f4234b10cd31fc00790e379fc6b1","1149.98674816","No"
"0x2d7229da33f0fc86b15cf0799b1cc52e86d668c0","3.98985479","No"
"0x34d8107d821b1967755d4704b880e3f862164049","104.87100429","No"
"0x392027fdc620d397ca27f0c1c3dcb592f27a4dc3","13.00811288","No"
"0x399abd36b9c7cef008f75d8805ee5fdf05d41773","255.36307082","No"
"0x3db37898b3b68c8392ecd25be05ff8d0c4a1dd56","1.96200011","No"
"0x40c839b831c90173dc7fbce49a25274a4688ddd9","147.16958265","No"
"0x444cdc3618d494167f9785929e793cf1a56b52c7","0.00113997","No"
"0x4984c50493efc65cba0c26b64a7af98d674e6434","0.00064503","No"
"0x4cc4034276745f26758ff00f896e9e0cfe41ea6b","0.00010691","No"
"0x587dd62a0158bb5e95d70950bd6c8ab025e4a95a","416.19531822","No"
"0x635b230c3fdf6a466bb6dc3b9b51a8ceb0659b67","393.3693515","No"
"0x736dde3e0f5c588ddc53ad7f0f65667c0cca2801","2318.70855402","No"
"0x7c79759edbae856c0eb329ef930321938bbe32a6","996.67637318","No"
"0x87fc1313880d579039ac48db8b25428ed5f33c4a","29.28757464","No"
"0x88747e96c045e71b357ce0b75597492beaa1fb8f","2.46123569","No"
"0x8a2ff4f48a2aef354d96339946b03fd740293bce","0.27858551","No"
"0x8e817d4007bd09b27f02e167d26d8319cb380b22","449.1276443","No"
"0x9a3f66c46653811a826d24da1f5dced08a8f657a","6296.45148733","No"
"0x9b0765d37b828cc3a82e265e96195279dd071697","155.46304272","No"
"0x9f15823c789e4d75425085ea3ac2e34ded114603","0.51439405","No"
"0xacbb228856f194aa5f7001525211c22f097c75cc","11.30032811","No"
"0xad91bfabd6e7c005f204475c3af95a64966c531c","149.69219252","No"
"0xb94533a6e0d5343bef7f132aa0477a913219fb6e","288.97205874","No"
"0xb9b1bad1bd633ac448c06433cf2454b57144512a","1.655199","No"
"0xbdca161443c3ef8129ecae499cd04b2b1738c77e","720.39087939","No"
"0xc129f74c5fbf2ca53f338c2b7a2f545adc37a012","915.37426644","No"
"0xe41a89d312dc9487e2cb7323921bcf5d21a3f52d","30.13399233","No"
"0xe59ca38ffa335c3983d8c9221f225845b5d93671","2.49823171","No"
"0xe5a8654631b3729f73ca3503ba09a5d3e11b46da","946.01982426","No"
"0xeaa593ade3570a12e9c68522bae65278a45e41ec","0.00133976","No"
"0xf043b1e8cf86ca773bdf22c632f4350c74448d4a","99.8392959","No"
"0xf05f045f9fb915449d99ae0604d5339f7735d5e0","0.00026085","No"
"0xf478a6fc28462fc70496ea5d36491095c8ca6aa5","1014.50902442","No"
"0xf6d61560d1b6e70ab61cc58b0daa5b1dff742351","1222.49453294","No"
"0xf71d161fdc3895f21612d79f15aa819b7a3d296a","1233.3629158","No"
"0xf800d8407b1488bb6dc3789c2d45147c25c38af5","114.24365403","No"
