"HolderAddress","Balance","PendingBalanceUpdate"
"0x0085d428ac99c42b30cb38373b1c233846891c9a","1694.16811381","No"
"0x01173bd5895acf19c67f6170f15d503d4153cf04","4531355.17245557","No"
"0x2170329ecef6026999070d6188e5a16d2b489411","65.74491693","No"
"0x24f5d3cf7f5b8c941650b91eed7036d986066c99","25012714.7345627","No"
"0x4276133bf1da32af758021788f1b7c963b8c1524","21910.53181384","No"
"0x4ff9288793ce6c98d7dab429f8ad97691d8a0f5d","165519.71700686","No"
"0x5892fe47a8dde5a51ba2c75c3760689c393323d9","0.53816066","No"
"0x5f12ab23d48345ceccf2397886610c199416bce1","0.197768","No"
"0x674a23ac083ceaee9421416f882884c230922fd1","117206.96580595","No"
"0x6f71e1190f2ebf07844ecec08e8440b4a3e83da8","42062.99389725","No"
"0x7a759a170c3aea65b3b373299d33bf5221785c48","2583756.00229539","No"
"0x94403a4d342c40860966c0344a88ac38b9dfc952","52637.21504747","No"
"0xa141823dd1d1ddcef34b8593a1bbff1fdd7d90c1","596146.55861447","No"
"0xa22d202907f2c25ddf7e74cc1f75fc631644b8af","4423.84047921","No"
"0xa23074a6582885fd185f196791fa56f94bfb14dd","693889.10937794","No"
"0xab95d2cd70a80469985fafe7457de81498211ed4","74685.2131788","No"
"0xad1cbe6fcab49120273df0c308f6c1b094fbfb57","205694.68673566","No"
"0xb1f76a4ad12eceb5e044e01544b8ef13d05446ae","1010.16886785","No"
"0xbcefba842f1983cfc6461eb4b18c6d7c5efbe57f","1492.94995212","No"
"0xc6920c7b2cec1bf97982f7968b4ec41ff42815e0","11055.74116955","No"
"0xd5bfcba7edf6ddfdd992280eaadc5e33a2c82e69","2014560.17158087","No"
"0xd882c9429cfea36fe02528b8fba94f1d22f78fa8","42947.66886107","No"
"0xe765e0c5f5e6acea5175a7da83b88c5dc0f2b437","21.22359353","No"
"0xed524d9b8d7e12bdde4202e3ec7f0e9076cca828","120612.54038995","No"
"0xeef3c28d4754aaa1e940d06d8128ade170ac4ff5","26.49044249","No"
"0xf190e84991ae3201dfd764bce08b3ab193247241","64.80826302","No"
