"HolderAddress","Balance","PendingBalanceUpdate"
"0x006d0f31a00e1f9c017ab039e9d0ba699433a28c","2234.05030044","No"
"0x058db3c19fe7b009e768c82c4ff73adc3126d470","122.36427451","No"
"0x0c31b6605686aa26df47eb45af0e4aa6639a5fd6","192531.73974451","No"
"0x17c4942503cd58afc19472686fb6d0ad08bb91cc","5417.37533936","No"
"0x18560ee6191fe0676cff866d9c7f5d661f993e75","1396.12962083","No"
"0x1951f4ca3a213086ca62073160c5ada49dcf35e5","84550.15451239","No"
"0x1e7a60d3936ded8b2df2a22b41bce867bc03cec5","2496.76114462","No"
"0x1ee3ffce917d130c15e7d1109c31936b7a24f164","0.0150871","No"
"0x2d7229da33f0fc86b15cf0799b1cc52e86d668c0","9846.92018913","No"
"0x2ef92ae40d1dc7f4cf2fa3569d0671dda33c7915","16973.18393849","No"
"0x2fba909aed4345ac0c67c75c51d955f822b14629","35906.52351546","No"
"0x36cc7b13029b5dee4034745fb4f24034f3f2ffc6","30238277.7861068","No"
"0x4086e3e1e99a563989a9390facff553a4f29b6ee","17385221.5123675","No"
"0x441fa107a40ce86a22f3f30782b826243eb197f1","4697.5575163","No"
"0x477573f212a7bdd5f7c12889bd1ad0aa44fb82aa","253952428.473115","No"
"0x4cc3b22397a2302cadd1f9865922be8b8c3faec2","4868.07186698","No"
"0x5398850a9399da87624874704feaa8a9c6c4089b","1.23326804","No"
"0x57bbc639cc73a8abfc0bc4817ac053cef936a600","6579.14722709","No"
"0x5b5186156e2a9eb66d4f9f6b49e18142fb9e65f1","6337.88855165","No"
"0x5e2fa64f9ef68a545b9e48a0db5744b7d2d5b86a","3927.71527676","No"
"0x6042d03b5af20f5e8b1f182d19cb1631f849092d","1437.17241195","No"
"0x69ca0e5712d7de4bb92d0377040594b965ab22c3","5502.35037852","No"
"0x6d1dc634d20268649e1eb6b207960fbc76e57dd7","2812.75426424","No"
"0x6f71e1190f2ebf07844ecec08e8440b4a3e83da8","6126.82709025","No"
"0x73f2e04f047931e85b62e4f2652b156199000e14","6575.62702152","No"
"0x77b467ec4cbb0bc7146bf15745f063728e679bee","35017.57256386","No"
"0x830064259ed69991b6c55b003cf0845bf72681ba","16223.00763225","No"
"0x87fc1313880d579039ac48db8b25428ed5f33c4a","20566.57439069","No"
"0x8e817d4007bd09b27f02e167d26d8319cb380b22","492905.39625254","No"
"0x904f7c7e11471a2ae059c18f1da6fa2094882f9f","4916.73197818","No"
"0x91968e4bde01e1dd5d595ae4d5caf306797b6d87","4519.80373857","No"
"0x92399641c9412de2c255986ad86e6e5c19224f68","29444.93595831","No"
"0x971da287666762d75eaf70b4772be32e7f322ba2","21.32848482","No"
"0x9860e20f1db11199ee4a025eb181b0c1c1ac9c42","2091.05615221","No"
"0x9e9b217165f57828cea4cc581105e8f7ffe36d8c","109806.39799267","No"
"0xa15edb7f2c085f6743fc0586116c6f7d10c08251","24645.85863794","No"
"0xa2bf60058c0657c45fdd1741220b4a7f0da91ca3","7924.3476074","No"
"0xaf7fd0463fefd62e5859eee21d18e4478bf02b4a","34681.41889132","No"
"0xb1f76a4ad12eceb5e044e01544b8ef13d05446ae","50","No"
"0xb9761ab8b11f666dccee05466ca145bcfdbbe5f8","89.55537119","No"
"0xb9b1bad1bd633ac448c06433cf2454b57144512a","141.97071894","No"
"0xbc9cd9f4895324778ff0bbe558cd0bd94d82a5b8","437.03100534","No"
"0xc572c95996653ae98ec3a59d9a511eda142b98c1","14612.04747796","No"
"0xcdbcd5e50fd9ffd4afe88064c3f2a5da4a99327e","492.90574048","No"
"0xd62ae8d3f816c5849633269b8c6d2903a3ff263b","7444.47170435","No"
"0xd657860fc512ec2250a7385a353f599e3276fddb","3694.62420822","No"
"0xd8595ac2836b7a8040f046e751b42088436b6365","2701571.38279724","No"
"0xe1269c202692f84e64bb7383fa2b8a9093e73380","1938.20258789","No"
"0xe43192c078e391d6243e7e45828c0669162bb9e7","71478.32702417","No"
"0xf40e67f88a02299b5e3f1f62e347455298758537","12485.5015169","No"
