"HolderAddress","Balance","PendingBalanceUpdate"
"0x0070bc9033adf1e49517f98304f41f778d370208","1142.37455131","No"
"0x02062b8727cdde62cd784382c60d738fcdbb736d","4431.17274228","No"
"0x020ca66c30bec2c4fe3861a94e4db4a498a35872","0.45364924","No"
"0x0678fa96a29603675784f1baebd265834f9da41c","4278.08372987","No"
"0x08072a5fbc90eed1ca4fb863c1df8aa1fec61cfa","14379.66345776","No"
"0x095e5d0fa083bf92f09e590c899aa962dd1bb5c7","49931.11271437","No"
"0x0b4f56611dc8d67034cc36cfc6f9c25924fba852","2966.02401985","No"
"0x187d604d924ee6face100024c686fa1fdaeaa26f","19918.31797356","No"
"0x18ca14cdfa4bf887eeb2dd5fc98a947ea43b8d29","42343.57262933","No"
"0x1cdb54ab57753051be5502c8376e77e74b5e2d50","38242.90450196","No"
"0x20e96532d2ed197e712e1173ffb53c23f522742b","2467.84494063","No"
"0x21cf5649ee1a9362202ebff266ef7bbc8c26a917","64913.50392211","No"
"0x24f5d3cf7f5b8c941650b91eed7036d986066c99","88305.93908736","No"
"0x284b999d7de8026873dbf537b8e37d0f18f6bcc0","5018.48835916","No"
"0x2a406dc36aaecbea951ae034ad0a6cb9e5cc4f7b","22726.77488786","No"
"0x2d52f7bae61912f7217351443ea8a226996a3def","6731.10912442","No"
"0x362b1af2184bdf328930b4dc5e17c3485641286c","1059.35326185","No"
"0x367545d16460ea1aae61652a026740ebf29bb8da","845918.69792135","No"
"0x36837e2c2893b2d34fa80694b70eb53677aa6d4a","489298.93380456","No"
"0x490e90676b7e880e0d508ccdcdf87ea5745565dd","290146.23823933","No"
"0x4bf1fbc233cd6109c35a4cd9d34540173af3234c","2127.86680231","No"
"0x505846a0a89dd26fa5cd0677fd5406039c218620","4881.53577547","No"
"0x51a23045db018780dd40c890c62368c187e8d179","1221.99432078","No"
"0x5419d21b07a05cc6e20c07a5b2d6ace4f4825597","8914.83897861","No"
"0x55ddb502ae181921168d465b89d905242267f229","622.64390371","No"
"0x5889cb55b2dc442644aaf9f5bd8b57b353549f4d","3983.66651783","No"
"0x5b2757a623c829105cbcb9c626f086c60f813a8a","41823.33467414","No"
"0x6395e998ccbaec12fda1a0d3f64a7e82ae3083a8","2498.99803401","No"
"0x63e86c9c17841e227f978aaa1488f136fe7b68ea","10400.16621189","No"
"0x65f5cb909f1bcc3ff21ab88d9ef8e2ff848c03e4","3650.4168141","No"
"0x6972ab424477ac48c36352acc7c4694cb9451f62","4997.98698411","No"
"0x6a99e8961055b505d8d62c447220bb341ad769ee","542017.2548674","No"
"0x6e49240e00570160f42cd6c667c72856c0f2d0fc","37999.58155012","No"
"0x6f7f4620cdd69d66537004e09e2db7364a781e2b","1749.55425824","No"
"0x775c10c93e0db7205b2643458233c64fc33fd75b","5002.48231945","No"
"0x7bfee91193d9df2ac0bfe90191d40f23c773c060","71845.81065191","No"
"0x7dd508a1e4da1243789b799a480f8b45e58b1b5b","1123.36362682","No"
"0x7eec0706e6e4fb880cf2cccab0b13748d3538bf3","6218.67440468","No"
"0x8333ed58a9944fc7d3e35845baa74b19a31babc4","59706.83099354","No"
"0x83a436c6e313ecf00fff0b3bd7c8dccc25d26b0f","2407.36457237","No"
"0x8da17bbb1456d3839ac6a6fe64607769e0c85140","65669.46636305","No"
"0x8df42d982de607e221a0caab424262726815c85b","55719.03592504","No"
"0x93b220bc7c36ea8e4c64192301b680273a184ec3","364912.50627276","No"
"0x9833eee8055c425375dadeb12109c4b3ba667d79","1060.22381392","No"
"0x9cac807a66f0238bcc6e4f2abfeb3a8ee3f928a2","23095.94198185","No"
"0x9e353b08ef2c35fcae619f160d9a1c6754138e27","797.72643343","No"
"0x9ed1dcc53ecda1c323f96ba5882222ed0eb831d8","11452.44889216","No"
