"HolderAddress","Balance","PendingBalanceUpdate"
"0x0000002e7af4dda4efffc7229400c578a9f34d00","1401.65075714","No"
"0x000000f15851d0875e878a83451163999bf5da51","499940.95416644","No"
"0x001ebb710524004633f292092ee31c3e8f4ff7cb","79842.91077799","No"
"0x008b1ffe244bf31896c833bff4ad9009e7a0f4eb","885715.04437449","No"
"0x01173bd5895acf19c67f6170f15d503d4153cf04","3724035.86941091","No"
"0x05272a105c6b9e8d8b991efc5708d9ae4f2a6e86","2.79697147","No"
"0x0583e6770a12a9862036cefe8885ca011a5d2730","107283.77757627","No"
"0x0656d8b7b1fcc09788f4a7b657b38a3a4eeb3f9b","1425520.95064927","No"
"0x071b8bc181ae7cb03f5faece9b5b8b25be9b0982","4355743.4705419","No"
"0x0bfd52de6a1b494d4fea95828b4ef759661cd164","0.52995191","No"
"0x0c90a9d2b0f573c21c499ddac720e2c6e2899f7c","3189.01800458","No"
"0x0d38fa1382f809e138be003ed018229b83eb9146","2.87242939","No"
"0x0ebab19f412e1afd2b90842e5c632aa186a4f60d","13307834.4184479","No"
"0x0f3fd5d797eecaefb9e21c63038091b7e60fa031","700512.09843173","No"
"0x0ffeb87106910eefc69c1902f411b431ffc424ff","24654085.3373796","No"
"0x107ed30c3ba402eb01b652c5c19f03a25d7a8d5a","218366.22727714","No"
"0x11556283a2c26babd9e920188ae17572fbabf5b2","405094.76159287","No"
"0x116a45d9cd43c16d3835d09c735a69befd447866","709184.53608281","No"
"0x11a3d2016a4984b62a6f4b89ee312eb9abcda87d","1401483.40593271","No"
"0x11d0cb5c690bc838efc52c621f6b48040dd000f7","12.71930966","No"
"0x143ab1c8d7afb0a6eeb90060cb6b59c6b9867aac","862251.32785131","No"
"0x1488ec6c55243e7130b756949b0238693c7e382b","4373983.81013444","No"
"0x14e9e9f0a8d9bac4cad8c1ce339826f42924e542","15974107.0548612","No"
"0x166ed9f7a56053c7c4e77cb0c91a9e46bbc5e8b0","0.04557378","No"
"0x16ba861d257236c5e6f1c820cb725241942bd01c","132361.24163604","No"
"0x1769d5396e396f74eba656cfe1dd0a4f2c8f8b0b","87316.79253352","No"
"0x178dfd18b2c2a4880a28fb28a53bcbfa15075d25","4.64254999","No"
"0x180780701cfed2151cf6ed76580949d902b41790","131112.86118556","No"
"0x1813da50890f5ba64fe9b7c56ce69c1388c59112","730169.01932816","No"
"0x190bff1e90e21b28c006ee548e443ab797e78977","2197525.16864994","No"
"0x193f0ee42a199a0cecd479a9f09ba293eb1ca357","1545091.0792272","No"
"0x19e15a9fe6b97f5e01c697a53fe124d9151c96e4","1097960.26446535","No"
"0x19e205de68a48bd872fc0caac877de27c1b37d3a","272484.95344027","No"
"0x1a6a15bf5e616332e742990f34298d2c513a3631","3279905.97718667","No"
"0x1a83b14796c2269f9696f66147ef441e096a3022","888516.52973195","No"
"0x1aaaa76a8de3348c80a1c3f0152f359fa5c91095","2426525.61918969","No"
"0x1aaf5e41c2c73617bc120097547a3410caf6718a","75668.91226295","No"
"0x1cb9981a50441979361cb7eec9aa765ef9f77d88","2729408.44561402","No"
"0x1d32ec413af47d872ea957baf09a0887b00eb470","7616031.08658806","No"
"0x1e009fc77eec621f633407c5af1e32e8fa2e2fe9","49283.97699318","No"
"0x1e2a93e5da1efcb5f4b88c068cd76938f3a5d5d8","112577.25769163","No"
"0x1e7a60d3936ded8b2df2a22b41bce867bc03cec5","169412.7129533","No"
"0x1ebb814c9ef016e6012be299ed834f1ddced1529","1552553.56485958","No"
"0x1f58cd74f80681b4dd841078963d72a8df84c43a","715948.52277839","No"
"0x2170329ecef6026999070d6188e5a16d2b489411","1551935.6964556","No"
"0x22fa8cc33a42320385cbd3690ed60a021891cb32","2347.4074199","No"
"0x24d734a75166e66000c8d7f12a173e41358e3cc1","1078919.83842759","No"
"0x251ccf44f5963ed48634067e71d392f340918c5c","247455.29925562","No"
"0x25afd857c7831c91951cd94ba63af237d28604d0","4263336.92568015","No"
"0x25b28ee7f335f0396f41f129039f1583345b21b8","4686679.46835645","No"
"0x2740ddb3509532f23044a127a1d0995fb9f8fd58","1123710.8577154","No"
"0x2760d810eac30c554201c938d75ca940f7fd10da","1216100.95642255","No"
"0x27a2ab1975d496824abe15a2a99ab01698c35e51","5.27955066","No"
"0x2880a6bb2cd1df6e03dc8bbfbed009de586c2603","540631.96462932","No"
"0x29e5cb1721fb2da29bb00d0b816b9289ee96b1e9","420808.79857901","No"
"0x2a4de8a61cb7882c06c9c45ea187adbdf7ccc286","2999.91946843","No"
"0x2abdb157b2603e17d531d4fc51a4fc6174c3daea","12736.25143378","No"
"0x2ac562403e4e1776edb516c768384eefa99ebb9d","540600.18664106","No"
"0x2c3a3f8461fb68ca550fc36ad725a8dd2c841eae","218649.65918686","No"
