"HolderAddress","Balance","PendingBalanceUpdate"
"0x000206732258d7511fa624127228e6a032718e62","198624.59338014","No"
"0x0b013cca6335dd62353ca60ecec9c39b5227d270","4297.09360616","No"
"0x0c5a2c72c009252f0e7312f5a1ab87de02be6fbe","60079.70849995","No"
"0x0cc7090d567f902f50cb5621a7d6a59874364ba1","153178.74124278","No"
"0x0d23e2107fb2564343de28543545bcccc0b52574","6485.14918771","No"
"0x1223f9446ffdb6b35c2af3d81c0e7c0171965bc7","5310.84325083","No"
"0x1333c53a798547126ca04647ba925485a6fa7aad","78195.13910399","No"
"0x1488ec6c55243e7130b756949b0238693c7e382b","24825.05603194","No"
"0x14b1b3ff91525dd00e8fb8ce000097ce7d1cb251","9792.90873908","No"
"0x1884754f87901885c112c08f5276c4d66e1a8ffc","4826.98233021","No"
"0x1d770e4ddefe8198be90ec1efff2b456b6655a3a","2676.60768788","No"
"0x1f4a6756da7592fc0f9a031d127d016acc0bfcb2","1584.39304533","No"
"0x1f80673cba95a1792dd6d75a6f6ccfd14ee6b4a1","77370.71883282","No"
"0x241083c40cea16de588e406cdb0ff93a7c92ab5f","15282.50755038","No"
"0x26a443b6a388530f3852f48443cd50d75a070964","0.20812371","No"
"0x2880a6bb2cd1df6e03dc8bbfbed009de586c2603","8045.40374326","No"
"0x2bed58e63942689c9670eac1a5593ae7dec9d564","16.2305031","No"
"0x2bf47d48d5bb0cbf63b10eb60b04f8fb09713842","5333.60097613","No"
"0x2d362cf5ece0088c0786b656b96688de670cb377","1629.86521838","No"
"0x2d7229da33f0fc86b15cf0799b1cc52e86d668c0","1295.18868797","No"
"0x310d5c8ee1512d5092ee4377061ae82e48973689","13142.64547877","No"
"0x34e8db41c4ec274429d01597bc86aeed4d6e9b5e","8528.73772532","No"
"0x392027fdc620d397ca27f0c1c3dcb592f27a4dc3","25200.94786055","No"
"0x4202e733eb2d17a92401fd75148d04ac1b28f1c3","342.9177383","No"
"0x45267cba531a4c0acbb8cd7390382898d045300c","41620.91071734","No"
"0x465b357bbac5f6f3bc78669db6980f9eaa21d0c2","123913.59262222","No"
"0x4eb71d22af87ecf228a856075c80c143890256e4","23053.59882969","No"
"0x4f6798d42feb2a9169f4fbe0f986d005e1b76180","536.41384274","No"
"0x51a23045db018780dd40c890c62368c187e8d179","399.58227926","No"
"0x52d81d4a8b18d6ba0b2c01dd2f9927eaf755dd0a","353478.41789135","No"
"0x54158dc7cfcf7823cf009d3f76d44d2f222def6a","449389.7604426","No"
"0x554051cc2c34f53df8457592531920849cd75e53","1.08179296","No"
"0x6014ba1e29605cdd33d5d95c01b79275aa494be9","7645.4867815","No"
"0x63252d7ed07cd0de190b52861f7dc691e2b86983","17219.55806395","No"
"0x63dbf00c99ead0635ff5adf2fd2f1f7f2141fc7c","501673.84537501","No"
"0x6439543a2ff1d78d25abdc8daa75bb004e210183","2485.90800567","No"
