"HolderAddress","Balance","PendingBalanceUpdate"
"0x0006e4548aed4502ec8c844567840ce6ef1013f5","1.5452201","No"
"0x027fca5dce8baa10e93ca93d0f2150e7ca4d4107","183219107.629752","No"
"0x0ac9e7a77b921653b9538ea11b51ee530773bd4d","0.21666845","No"
"0x0d24f692c05036602076b3f51242b5a34c55ee38","1208024.08178138","No"
"0x0d4ddea3849c54e16c85cb4354943dc876e05552","0.09244067","No"
"0x11690b00fef3091f37dd0f88e36c838cd344547f","0.00214463","No"
"0x125b479b70187d27dc2e574a62489d39179b7105","70.77584094","No"
"0x12d964f702db7b301765c0066a04ec4fbdb59e3a","0.02214327","No"
"0x13fefdd563a930f07b1ac8a2227acc27c3c12946","285.28612505","No"
"0x16027fca7230f8c5cd7dd8cf4a3ab6ec61238c20","2325.41745519","No"
"0x18fc6e5341d57c757659b888db134c2eb366e97b","4975.88904623","No"
"0x19b39e12f280901e832951cd2bbf0a68342151c1","9736.07235266","No"
"0x1a2f08a75e7d50d03537ccef53185e24e2042566","30170.62627146","No"
"0x1db4a8b4ccd457fefefdc421a983f03350e39821","0.17489871","No"
"0x1e009fc77eec621f633407c5af1e32e8fa2e2fe9","448209.78825323","No"
"0x1f0071bed660ac376e5a79cd8b49c16d03aa4d71","1","No"
"0x1fe9fd1156688699f4ca017e72ee0d9873f9d758","11990437.3579045","No"
"0x20277b336722dd5f6e67b13d16e0a1ad39da519a","49.83017283","No"
"0x223ff7cdda3c230a28b684dd51c15ef250086e53","73829.18318453","No"
"0x22414282c64bb1ef62b9736d3b584f59b5bb20d3","396.26071587","No"
"0x22da6663b02b56da94a7415f9b32c5eb830d1cf8","0.20588072","No"
"0x2365a9edc783c34ae701f691a5b646db0aedf000","9946.36495309","No"
"0x2488f090656bddb63fe3bdb506d0d109aaad93bb","7599.68609549","No"
"0x251a504dd8389ca784768e97d97ebce12cd0b929","746.31677458","No"
"0x2a1e54aa64cc38d5a5de48feaec0d0579f6869e7","49.3701666","No"
"0x2a7200b3ed564595b2112a24c314bd0131fe1b55","2516129.6262754","No"
"0x2a877477ca0523d4e07f267ccdf8d724c35bc5e4","39808.9818624","No"
"0x2bfe66759f0331066f3e7d57b3dc9a96bfc17927","0.07039371","No"
"0x2daafbcb69c136c94a4702411333860b50c79022","6689.6025379","No"
"0x2e60d5f3af8eee7228da56704d23c031ac22d71b","7460.52912129","No"
"0x33d3c029fd119ebb90df20c3427a97074637bf7c","7.13278747","No"
"0x34bf65323498f48b597014fd1586d4110dd6b1e5","525916.70977326","No"
"0x353a3b43d34247cbc3f8092187cdd849b5b31a77","155941.7200419","No"
"0x37fbd8156be076cf49451892671206e38a8cf6c1","0.09238244","No"
"0x3cc9063e7ac5fa8345e1f59bc32a470ccd30ca6d","233383.42458824","No"
"0x3dd310ddbfd9a8fd0aa0dccec256ee433f71f60f","499.95793123","No"
"0x3e590fbb993bf1e97f04fe615c64bfa37dd84999","7.17195738","No"
"0x417ac47ab85ff79254a541fd6a9fdff23852a9a4","0.00913478","No"
"0x42309ab9681352613bfffb6df39acd25e7444ef6","0.01513522","No"
"0x426e50056d337b61c8d772e533a3ee6c88d5102a","1935.96911089","No"
"0x42d2ba5d094964b5db944ed7f64e6ed8d6743112","80778.22211086","No"
"0x4352ea6021c55d08e743cad78d5383e7f9d4cc9a","1984.88043409","No"
"0x44284e10668e31cbb6903d211d1968aadf1eda45","1622.7402165","No"
"0x489aadd588fc5a1e6ade66d3847ac09c54b3cf26","0.0426073","No"
"0x4b1ed775bb5a708d252103192a5c3cae9164c593","174263.16355597","No"
"0x4c0259856068ad6b90eecba94e66a165fa4a1cbd","1684771.01462455","No"
"0x4cd52b37fddd19ccd24b0d0e9a048785c7aafcef","26.20573447","No"
"0x505846a0a89dd26fa5cd0677fd5406039c218620","112.42567468","No"
"0x52ad87832400485de7e7dc965d8ad890f4e82699","135788065.685122","No"
"0x53499bcda5f8a2e4f07cadf96ec509da98e8440d","39698.7126646","No"
"0x54962fb1ba5229413777fbadd4d826319e68c065","15945.49397689","No"
"0x5963582e0bdacd642d5068660a0441c66f9721c0","810.0158992","No"
"0x597568694fe6ee1b701ec8578bd57102c9a29abd","24809796.7878178","No"
"0x5a81aea48e5679179052f12551ae0297e0315ae9","0.63746149","No"
"0x5b558b506b25eecd97f433b860876eb2642d0af1","1.30434173","No"
"0x5baf7bea3f252f9aa1ed70c2e506e72e49b4a3f9","36.00423342","No"
"0x60cc8e2642781c0575e81fd53bb7c6d2829ff423","2494.41193924","No"
"0x62c739355acb578caaf7481ab6e35f2895ecc5e7","166.01635975","No"
"0x64ad5e331bdeb2f6de21ca1fcc17604cf724130c","330.94909704","No"
"0x6632f58b392830898024db1d668ec677e56d68e4","27.52351588","No"
"0x66e08bfe31094c62321300d38ebcb0dd0b13502f","203.72459702","No"
"0x67122c473a6e195265b9e6d737c8f1cf5543b199","1","No"
"0x68f6828a6ec5f63fecadaf73b614720067345c5f","3967576.82741811","No"
"0x6c1a6347761bb5f7c335f3e889410d40076ad416","0.51314283","No"
"0x6cd1a4e69f093b78f9d1de5b5d5cbc17ae965bcb","1737086.56402372","No"
"0x6f179165237bc5948b0b4c05b3a94e0eac9919f9","0.09369527","No"
"0x6f4c790ca40887f2b6b0c8f2ae251e972f527ad5","902876.74251844","No"
"0x741c0655707cd7276a6664bbc3c07bac152df84e","209883.85418241","No"
"0x75b1d5e5dfde74fafc74bc24a86ca10d7b87436a","2553481.86455838","No"
"0x7a1fbccc781593de822e0547f8cdc6210c982d61","496383.37057632","No"
"0x8115653a736e1071180b479f46c5f973adc555d9","3.25999637","No"
"0x81776067065bed754c6213c701f0152b5be4a43a","58.25447935","No"
"0x81ed79fa03a8194e62f415ec47e23ac89076f1bc","50","No"
