"HolderAddress","Balance","PendingBalanceUpdate"
"0x0056d1fd2ca3c0f3a7b6ed6cdd1f1f104b4bf9a9","387.02087572","No"
"0x0085d428ac99c42b30cb38373b1c233846891c9a","13479.50946942","No"
"0x008b1ffe244bf31896c833bff4ad9009e7a0f4eb","305.03234353","No"
"0x00dbe6dfc86866b80c930e70111de8cf4382b824","3.5E-07","No"
"0x010ae2e22b49105bd4fdb5595da1250e755fa98f","361.63868925","No"
"0x01228d70a0980d85a103d9a753707104757f69bc","2E-08","No"
"0x0154d25120ed20a516fe43991702e7463c5a6f6e","4.6E-07","No"
"0x016078a5e18d9a2a4698e8623744556f09a9ca15","9.7E-07","No"
"0x01cbf0c746a217a3147fd051a3fd8c83ca00a330","0.0510519","No"
"0x020ca66c30bec2c4fe3861a94e4db4a498a35872","678463.64924716","No"
"0x027fca5dce8baa10e93ca93d0f2150e7ca4d4107","4.69391534","No"
"0x03b9129679cf84e608c072677003a1e65089433c","15.80315429","No"
"0x03f35bf158c39de0d3a9e59c60cd5dfdd89012d6","0.04280789","No"
"0x048db1a781fa18daffc28200c3b1f396bfb2ab37","109.39550828","No"
"0x04e67fed060d12e8ab391809aab60196e406be8a","409.647641","No"
"0x050aa9f518f2b4258545664f1774308d7929edf1","1.6E-07","No"
"0x050f453396469b3bab00ae1eb4e49bc66a804c8c","4E-07","No"
"0x05547d4e1a2191b91510ea7fa8555a2788c70030","8.7E-07","No"
"0x066460c76c656613e11d11ea59007567c68b8411","360.1247536","No"
"0x06ab7b6155f5fe588d02aa18fcf8d6fa11e71b2b","490.11564566","No"
"0x071b8bc181ae7cb03f5faece9b5b8b25be9b0982","5.4E-07","No"
"0x07967962b9f6a25414788917eaf71b441bb8766e","5.5E-07","No"
"0x07c8b4d7f1bc58f8780ea96e9ab68c840ba04eff","166.80871162","No"
"0x07ebcc73b335b48750929f42798c6361969526bd","10.55531831","No"
"0x07f2fa35b89393f55279895366a3155311016b69","995.281231","No"
"0x08072a5fbc90eed1ca4fb863c1df8aa1fec61cfa","2080.43164188","No"
"0x08e5e4df2f56be734ead5c80a3b2377616210a62","12.63078187","No"
"0x08fd028bdba7a94ee02fdfe6df0059a9b791462b","51.34497339","No"
"0x0918bf9bee378048fcc5d25e7f1bec9037a27f1a","0.00446347","No"
"0x0991d02f28a5283338e9591cbf7de2eb25da46cd","303.02669586","No"
"0x09cf915e195af33fa7b932c253352ae9fbdb0106","4E-08","No"
"0x09fa38eba245bb68354b8950fa2fe71f02863393","3E-08","No"
"0x0a53e28f2f7b27971e18a6305c2c74a449badd2e","2.08443929","No"
"0x0b013cca6335dd62353ca60ecec9c39b5227d270","163.68650022","No"
"0x0ba680ae4e6dfa47a8e2ff7f01ad0f4a289e3954","7.1E-07","No"
"0x0c403e0d57eeb8f091bcfa8efdf01c00509f04f2","321.36602424","No"
"0x0c41df6a4c0eb4394efffa197602648c43311718","6.4E-07","No"
"0x0c5a2c72c009252f0e7312f5a1ab87de02be6fbe","3.8E-07","No"
"0x0d307d9c8b6d4aad162a662e4bbfba9ea96a5f81","131.96459393","No"
"0x0d598a9f3f90804afc5a194e0e59e6addae86f40","1389.82145887","No"
"0x0d895f9061a9da24547f428457f66ac8aa670336","271.00869169","No"
"0x0db63f1023986d17758d5cc974b7151dc7f0b5af","9.2E-07","No"
"0x0ebab19f412e1afd2b90842e5c632aa186a4f60d","6.4E-07","No"
"0x0f45156f109e474295913d78036fa213b1745d5a","0.02685728","No"
"0x0f763341b448bb0f02370f4037fe4a2c84c9283f","10794.9886445","No"
"0x0ffeb87106910eefc69c1902f411b431ffc424ff","6.6E-07","No"
"0x10395903bfbf4ef877e43f8e6a56591d9cd1a201","4E-07","No"
"0x107ed30c3ba402eb01b652c5c19f03a25d7a8d5a","1644.70773658","No"
"0x115b66fb3fa7e71b3dc77f0f561a6f0050feeca7","3.9E-07","No"
"0x122db9911c8f9c64924b4e68c5c087a499b0dee9","6.7E-07","No"
"0x131cd5e746fa428c80b34a70b136c36722c613ae","9.3E-07","No"
"0x1328ee8628b381b58336d79037188eb7eb00aa85","0.86806725","No"
"0x133a123687c6c4d12abcd18a8dacf2b7871d9548","49.88073572","No"
"0x13889f184902a81d25a092ccb9318da14481e379","306.26230611","No"
"0x13afb3b7b16a57b8b799cc0b7b4f6782505f3bfe","2E-07","No"
"0x14cddaa43e3f0ab6f71a910ac0c4d86a12872bc0","1.5E-07","No"
"0x1523f9af095ca5e3add623dd25f98d91db5bdd67","29566.60525282","No"
"0x156a4c4e0fa4f08ad0cc1a2063c67690a3ce24b3","4043.18409602","No"
"0x15f7320adb990020956d29edb6ba17f3d468001e","7.9E-07","No"
"0x15f970a5fa4791dbe4fc3adea6d41e87e5fac6ff","1.0137164","No"
"0x1623e5211ad14b377ee3b804271a836d91e4066c","8.8E-07","No"
"0x163c928f7a5829415d6467d8bf4c130afc1082db","2.1E-07","No"
"0x167539702b5501aadd9b0b85e53532fd57cc71a9","0.59596538","No"
"0x16d76afcabbb227727204ff5987d1cc6f03c77bd","217.834065","No"
"0x1714a5badf44f9aade2e902eb083b80f6d4129a2","5.7E-07","No"
"0x1793d9b7ff6c67650828e912bd384ea19600435b","10.64169036","No"
"0x17c4942503cd58afc19472686fb6d0ad08bb91cc","2E-08","No"
"0x17ced98c5b9ddd921977f2b5f68d2e488b8916f7","950.01892605","No"
"0x17ea92d6ffbaa1c7f6b117c1e9d0c88abdc8b84c","1.5E-07","No"
"0x1813da50890f5ba64fe9b7c56ce69c1388c59112","4961.0851023","No"
"0x187b6ccf39c3ed15fd5949d8284ff1d667411072","2.3E-07","No"
"0x187eebad066c161615cbd3c04aa0e079139391d4","8.1E-07","No"
"0x188c30e9a6527f5f0c3f7fe59b72ac7253c62f28","1.2E-07","No"
"0x18960c91688c5ca0767c7bf2c80df5e679648256","1.76160787","No"
"0x18ca14cdfa4bf887eeb2dd5fc98a947ea43b8d29","2.4E-07","No"
"0x18f768455e7f5fb09fc491fd86bcc282bcdd5973","3.5E-07","No"
"0x19246d4cb92671d0f2166d00c9de687ead3206f8","12.55136625","No"
"0x1951f4ca3a213086ca62073160c5ada49dcf35e5","5.9E-07","No"
"0x195506d922d359bc4f6ed052712ef1383033af09","9370.49755516","No"
"0x196a3dc8446920cef0f0d1f6bf7ba5b40702c79f","2.48E-06","No"
"0x19959b5d14845a37c6d666fdcb4f6da93844c48d","1.7E-07","No"
