"HolderAddress","Balance","PendingBalanceUpdate"
"0x0056d1fd2ca3c0f3a7b6ed6cdd1f1f104b4bf9a9","237410.29606657","No"
"0x0070bc9033adf1e49517f98304f41f778d370208","25177.94946986","No"
"0x0154d25120ed20a516fe43991702e7463c5a6f6e","7422618.3030657","No"
"0x05738078a66d8d2d16ef8075f215db6dc62b2b13","1384741.32175973","No"
"0x069e85d4f1010dd961897dc8c095fbb5ff297434","77249.00451073","No"
"0x084cec340ba97af2d4082be6bbc8cb3e50d04ae2","51223.54697705","No"
"0x08e5e4df2f56be734ead5c80a3b2377616210a62","5120956.13795696","No"
"0x092331a29c069ffc6824a6d9e5d059012368fbfb","197728.77498265","No"
"0x09b807d9562fb422eca82fc2575a0fb111587e1b","898012.11860148","No"
"0x0b013cca6335dd62353ca60ecec9c39b5227d270","79177.40768977","No"
"0x0b39a46d9fe2f26ffe03c5f32fdf19541e1e92c8","7967992.86342365","No"
"0x0b432f998af4e5c1ccbe71f408d376387f668e50","27150.1900522","No"
"0x0cc8a5b61482253860f7c551232c0244004af5ac","169252.68154503","No"
"0x0d23e2107fb2564343de28543545bcccc0b52574","483542.57314065","No"
"0x0d598a9f3f90804afc5a194e0e59e6addae86f40","123046.38998843","No"
"0x0d895f9061a9da24547f428457f66ac8aa670336","7479.43966438","No"
"0x0e278f7ef9f25c25e58110f828573f242c65d290","148111.89881972","No"
"0x0e74d9d5661b57e7e3b4a41a20a57b3b62be11ec","68023.5631738","No"
"0x0eabffd8ce94ab2387fc44ba32642af0c58af433","420675.42554174","No"
"0x0f2f9599c19cddd869d0bbf7bc3bfe354dd5b40a","328273.42188234","No"
"0x0f763341b448bb0f02370f4037fe4a2c84c9283f","1478870.8088622","No"
"0x0ffeb87106910eefc69c1902f411b431ffc424ff","145732510.947029","No"
"0x114a4b3b0640e2b4235b0897ab343a26c97c8d14","16667.87335882","No"
"0x11556283a2c26babd9e920188ae17572fbabf5b2","169405.09014759","No"
"0x1178463f809657513bfaa2bb69dbef55d9f61e9d","614033.45550486","No"
"0x1223f9446ffdb6b35c2af3d81c0e7c0171965bc7","49966.50941187","No"
"0x1333c53a798547126ca04647ba925485a6fa7aad","3265183.51208876","No"
"0x1488ec6c55243e7130b756949b0238693c7e382b","742808.4908863","No"
"0x155ddac174dc33a1c7054b90ae8c31228776d147","4419942.32356542","No"
"0x164495536ea3d93ad667d8d376d56851437b958e","4950.27757765","No"
"0x1714a5badf44f9aade2e902eb083b80f6d4129a2","55411008.0806362","No"
"0x17ea92d6ffbaa1c7f6b117c1e9d0c88abdc8b84c","15973.8564558","No"
"0x1884754f87901885c112c08f5276c4d66e1a8ffc","42044.43914488","No"
"0x193991827e291599a262e7fa7d212ff1ae31d110","7011092.81382724","No"
"0x1bf409cdbd0b53ec91edc586dbf7b5ccfbac59ed","9894645.68420691","No"
