"HolderAddress","Balance","PendingBalanceUpdate"
"0x007bc4ceebf94ce417fcfe4d5c5174d2cb0c3ee2","21974.4915555","No"
"0x0085d428ac99c42b30cb38373b1c233846891c9a","117.75451834","No"
"0x03b9129679cf84e608c072677003a1e65089433c","0.03900842","No"
"0x058f30bc84934857b16c60c94cafe2df7d42777b","238665.21551909","No"
"0x0764dc400c280ff2b6d1f0582969c0c668271340","151.56502035","No"
"0x088873f2bf4490e7676536c261d96f47c78df56b","1.66177607","No"
"0x0ab4b2f1a5cf3d72206cc1415b8e88ef9c698423","1.24216833","No"
"0x0d4ddea3849c54e16c85cb4354943dc876e05552","1.92274294","No"
"0x0de90a166899caef0aa8af0df6d5f80977351d5d","0.01099805","No"
"0x0ef6e547dd86de09f0e8ece1e5a9f5ccb335ade1","0.18961284","No"
"0x0f87dd03a74e6a48d56661d96f44880c79b9d795","5685.97634898","No"
"0x103fe2ff1b3c83ca4ad94d4981d8f93dbb41b558","0.30519358","No"
"0x10e651245129f3b7dd032791ed1a5c77d16c3967","10.58688476","No"
"0x137f3808c46495e78d9627cad82ddf8795532314","0.0069864","No"
"0x14b95ed55c0825a30c5bf6d4905379e06749b117","5.00231158","No"
"0x153f2fde8dd32536337d8810f0245235df86d394","2.26043577","No"
"0x16027fca7230f8c5cd7dd8cf4a3ab6ec61238c20","0.60918066","No"
"0x1714a5badf44f9aade2e902eb083b80f6d4129a2","162856617.556054","No"
"0x172528c72fbfc670ff4c22a1291dc53e2d37b308","748.31060938","No"
"0x18b1fea6e5c46d14e736d5d6dce12536c0788f7a","0.04788841","No"
"0x1aaf5e41c2c73617bc120097547a3410caf6718a","603.49275746","No"
"0x1b5619ea5c5f0998006af5592f2d9506f044d107","0.09849494","No"
"0x1be178db4f24bce596055a02fd27b6119c7b1918","0.69701542","No"
"0x1e815a8188f1b84564577c1c998f7e6b4706b752","0.02727117","No"
"0x212ed0fadf06aa480d09fc1737b2912213ef6ab4","15.15511757","No"
"0x21bcbaf0c184fd52d3554cb79159826f650c0263","8663290.08078944","No"
"0x22507bf65c6819667a2fc52ed88d62096ef92650","1.30584967","No"
"0x22e3d65988814f4711ecfdce049cd2458a5329bd","16.39659097","No"
"0x248535910a53b798ed5961396a1b007275728319","3.499E-05","No"
"0x268cb4c8b97da9d146702d84501a64f597a3aa14","0.00147399","No"
"0x28ac9e4eeca87b5310cb64fbe8ff22f498deae07","0.16013495","No"
