"HolderAddress","Balance","PendingBalanceUpdate"
"0x0056d1fd2ca3c0f3a7b6ed6cdd1f1f104b4bf9a9","68276.29874787","No"
"0x01228d70a0980d85a103d9a753707104757f69bc","1149.28676583","No"
"0x01252be268b05625b554c80dd46ea669df5e948b","4703.30991028","No"
"0x024b38dd3e19761858731a1dcddb14d9ab2f6c8d","44143.41825711","No"
"0x0381ad07585a5f17531526a59b45219a29f49ad4","8490.37409227","No"
"0x03d0a02da4e45d8dfce1f78a4de7a3fdb3db5f1e","1577858.53165215","No"
"0x03dc54da70469dc3d53d4af0ae43236b6ff4f2b7","4755.62469946","No"
"0x058b10cbe1872ad139b00326686ee8ccef274c58","145103.81970204","No"
"0x0656d8b7b1fcc09788f4a7b657b38a3a4eeb3f9b","23823.86108293","No"
"0x066460c76c656613e11d11ea59007567c68b8411","13542.7329513","No"
"0x08e5e4df2f56be734ead5c80a3b2377616210a62","8467.92713324","No"
"0x08fd028bdba7a94ee02fdfe6df0059a9b791462b","8089.66774121","No"
"0x09a01a4cc5b0ec8d606ea3b42bbec7145173bace","8874.53389452","No"
"0x09bb1b41bd79efd19050dd62aaefcbd4a96d895b","10062.49298792","No"
"0x0b81747f504dfc906a215e301d8b8ad82e44cbd2","4969.93267238","No"
"0x0c31b6605686aa26df47eb45af0e4aa6639a5fd6","11762.61572614","No"
"0x0ce638e196f5141b9aa2fedc07ea158d94b458f9","7781.99812802","No"
"0x0d4ddea3849c54e16c85cb4354943dc876e05552","1620.17903994","No"
"0x0d895f9061a9da24547f428457f66ac8aa670336","4959.89185488","No"
"0x0f2e6990f1883e47a1c92aae5f69157556d72c30","3388.15872615","No"
"0x0f45156f109e474295913d78036fa213b1745d5a","2663.16994909","No"
"0x128e00ff66d8bfb92923c5b8223f2db974220d69","49816.18328535","No"
"0x133a123687c6c4d12abcd18a8dacf2b7871d9548","517.812267","No"
"0x17c4942503cd58afc19472686fb6d0ad08bb91cc","58344.87674779","No"
"0x193991827e291599a262e7fa7d212ff1ae31d110","67582.32453985","No"
"0x1b63ae9cda5155e508b3548d309a09c1febdd689","10000.67279857","No"
"0x1b72bac3772050fdcaf468cce7e20deb3cb02d89","55324.77232886","No"
"0x1c2581e734a8b35e4c5f3077b5c2271157de5b94","235.51563945","No"
"0x1d52309477b48ebe8ed680ac066d506f7970065e","67404.74337492","No"
"0x1fef6e4587a7b9f5cd96dc914089b2dbaf29dd34","1970.24132573","No"
"0x233b8c8e02b971e65cb24d82809cf60604c7e21c","7346.76710339","No"
"0x239df6b1b2ddac5f2b3cad1b8226b25d6848b819","61860.46584609","No"
"0x23bcf6b5c991067846f8def2b9aa8a0d07b1abef","2686.24653878","No"
"0x23be060093db74f38b1a3daf57afdc1a23db0077","637428.82724036","No"
"0x24c5907cf8104ab5efeec7fab3cb19dc8907adae","34940.03266343","No"
"0x2562a449a01333cc661e7d6da287b49c3dc3f1a0","3420.29540502","No"
"0x25b6b7c7ab4b714b56670f3c57dcc1793412a28f","15788.21483183","No"
"0x25f435b8a8e815a0026fb4021a7166bdefac5d97","4969.23242644","No"
"0x263d6feb2ea6a7672b39f9556a6c1253c5bd816c","7226.12094706","No"
"0x2694b36a4db166457bc6311c16f3b9c6791c5a66","17883.87716018","No"
"0x26a22514d3ac0b05e2f4f04df96ef302ba434cbe","26871.48403133","No"
"0x26b11a2497381ef5e28bcfcf881185791ba11a5d","0.81389747","No"
"0x279a7dbfae376427ffac52fcb0883147d42165ff","3900229.58688445","No"
"0x28dc992af9a4c1165c46cf65bd43389a3907dc30","4293.96433115","No"
"0x29a155188b93d4366a03162bed54eaabed5ab210","1161.66441913","No"
"0x2a1049062c6cfd69bd38fbaf3b0559df1dbbc92c","29827.8077239","No"
"0x2a25ea7f6f6e82957e7ca223f229a3b4516a8579","253.32032464","No"
"0x2a4e6c78f12333481a6d932ba526eb56bd64f008","95540.39059792","No"
"0x2ac562403e4e1776edb516c768384eefa99ebb9d","81004.85689998","No"
"0x2ad72691c6dd2332d86bfa09993f6e5ea35cab36","146677.1541534","No"
