"HolderAddress","Balance","PendingBalanceUpdate"
"0x0085d428ac99c42b30cb38373b1c233846891c9a","86.10879359","No"
"0x0154d25120ed20a516fe43991702e7463c5a6f6e","0.628285","No"
"0x027fca5dce8baa10e93ca93d0f2150e7ca4d4107","617.77999334","No"
"0x048db1a781fa18daffc28200c3b1f396bfb2ab37","0.01604148","No"
"0x071b8bc181ae7cb03f5faece9b5b8b25be9b0982","299.94327145","No"
"0x08072a5fbc90eed1ca4fb863c1df8aa1fec61cfa","1.77417716","No"
"0x0918bf9bee378048fcc5d25e7f1bec9037a27f1a","0.27233204","No"
"0x0991d02f28a5283338e9591cbf7de2eb25da46cd","0.14725204","No"
"0x09b807d9562fb422eca82fc2575a0fb111587e1b","106.38596946","No"
"0x0c31b6605686aa26df47eb45af0e4aa6639a5fd6","6.75194756","No"
"0x0ce638e196f5141b9aa2fedc07ea158d94b458f9","6.8541667","No"
"0x0d23e2107fb2564343de28543545bcccc0b52574","11.30047797","No"
"0x0f2e6990f1883e47a1c92aae5f69157556d72c30","5.7E-07","No"
"0x0f45156f109e474295913d78036fa213b1745d5a","2.2271153","No"
"0x0f763341b448bb0f02370f4037fe4a2c84c9283f","149.97423897","No"
"0x107ed30c3ba402eb01b652c5c19f03a25d7a8d5a","110.77690243","No"
"0x11b1785d9ac81480c03210e89f1508c8c115888e","0.59095863","No"
"0x12429f1842c56e2116f93cbd6cf09418e49abcd7","41.21121724","No"
"0x1328ee8628b381b58336d79037188eb7eb00aa85","0.28775257","No"
"0x1488ec6c55243e7130b756949b0238693c7e382b","163.82490471","No"
"0x14b1b3ff91525dd00e8fb8ce000097ce7d1cb251","3.07288695","No"
"0x154532027092ddc03c52b567162b288243b755e6","24.75914792","No"
"0x16027fca7230f8c5cd7dd8cf4a3ab6ec61238c20","1.2E-07","No"
"0x1714a5badf44f9aade2e902eb083b80f6d4129a2","2940.61791855","No"
"0x18ca14cdfa4bf887eeb2dd5fc98a947ea43b8d29","50.03119032","No"
"0x1aaaa76a8de3348c80a1c3f0152f359fa5c91095","32.9333607","No"
"0x1b7c595f1701bb6eeed17bc70e1b4a2b998c4385","32.78954221","No"
"0x1c62b0b014f053ae743f0546b4e5a544909758b3","0.01490479","No"
"0x1cb4831b6df1d9cb07279b93a0e101db9b2295d0","1.14E-06","No"
"0x1e009fc77eec621f633407c5af1e32e8fa2e2fe9","4.62513957","No"
"0x203a67b09429d1baa2c56eb4c57634e498f07819","2.48E-06","No"
"0x2164d6b2ef215a4f46912bdd18f27a25041ebe29","7.86248936","No"
"0x22414282c64bb1ef62b9736d3b584f59b5bb20d3","0.00017773","No"
"0x22e962023523140781a709b352e9822b6287d004","0.00036098","No"
"0x235942ed8daff3895b4c970fc6c27650d2f0f60b","9.60143888","No"
"0x23b11ff67c2193b97cb37771d15a537b977d2278","100.8958019","No"
"0x23c0954c4b997c58a1544717de90c8e174ea194c","4.09E-06","No"
"0x24c5907cf8104ab5efeec7fab3cb19dc8907adae","74.98597621","No"
"0x24d734a75166e66000c8d7f12a173e41358e3cc1","10.29251274","No"
"0x24e8bb6a37774d8a0187e196beb29601ed5920bf","366.34942956","No"
"0x25afd857c7831c91951cd94ba63af237d28604d0","13.68107186","No"
"0x27243dfacd64e698220c963292263268015047da","0.00794335","No"
"0x2880a6bb2cd1df6e03dc8bbfbed009de586c2603","0.03427928","No"
"0x2ac562403e4e1776edb516c768384eefa99ebb9d","88.88010854","No"
"0x2ad72691c6dd2332d86bfa09993f6e5ea35cab36","0.06452795","No"
"0x2ae595eddb54f4234b10cd31fc00790e379fc6b1","261.33386103","No"
"0x2d407ddb06311396fe14d4b49da5f0471447d45c","0.04741367","No"
"0x2d7229da33f0fc86b15cf0799b1cc52e86d668c0","0.14787902","No"
"0x2e9d5d74aa050ea4de1702f4be50252707b0b3d7","29.54495947","No"
"0x2fba909aed4345ac0c67c75c51d955f822b14629","27.89931636","No"
"0x30dc5f4b2ac6641c8ce87d7991190ab1ecb3a68d","0.00092823","No"
"0x31adfbf4f653bcdc3a12c889fa721ee76605ffa8","290.05385292","No"
"0x32e236437594a08c1d4353f130def5d882ae9f8c","2.69779384","No"
"0x33d3c029fd119ebb90df20c3427a97074637bf7c","0.06189107","No"
"0x341c79d55b2d932610b362ac8419173aba444c82","158.36373809","No"
"0x3464af71d0b2e70e4b16a772b8ffbe7c7b82bf4b","27.27022231","No"
"0x34cae1d9e2d014b7b9e6295c66c554d7e79713d3","45.16586549","No"
"0x34d43658b4a04f60d0da54226cf652aa8b96adfa","0.00233213","No"
"0x358de7bae44025257eae6dd2d9774e7cbdbeeeb2","8E-06","No"
"0x38148ecc2078da7f65e6233dda28efaf4c51e96f","98.95594934","No"
"0x399abd36b9c7cef008f75d8805ee5fdf05d41773","53.08445568","No"
"0x3ac9f5cae6aecebdfb68db98f2aaa5c84d3ae8d5","52.41691182","No"
"0x3b5b5bd95867fbbc6fee07edd1d4affe3b0425a4","1.3856029","No"
"0x3c33334fab588711a43a571064d00fd31dae97a3","2.275E-05","No"
"0x3d30c7f60a8086763b8cee887ed4db90c4dbe585","0.4995838","No"
"0x3db37898b3b68c8392ecd25be05ff8d0c4a1dd56","0.82306321","No"
"0x3ee505ba316879d246a8fd2b3d7ee63b51b44fab","22.74088843","No"
"0x3f3e305c4ad49271ebda489dd43d2c8f027d2d41","173.69547156","No"
"0x3f9347049a5d1f46f04183f266eb53a031ba0d09","302.14352236","No"
"0x3fbc86aa019340308b90179f4bdc047fec14a51a","0.00272317","No"
"0x40c839b831c90173dc7fbce49a25274a4688ddd9","223.4816023","No"
"0x40dfc27ca78b6fbcfb78e91d3d2426cf6a281e39","0.01679205","No"
"0x4100f40b01e5a0611be77fef8179c056b9da8775","99.03566029","No"
"0x4178824eac1d03445477772e71f4a53a5ee53184","36.80023721","No"
"0x4299d864bbda0fe3272da750f8f7e8757a8ef534","678.90094982","No"
"0x42d02f4cd48bdac116b7e3a4895f586777948fae","49.99183049","No"
"0x43093861e897d139342ce149935a5f721532a660","6.1E-06","No"
"0x430acf422d1d655c995d78438a240632dce5bc9c","0.00041248","No"
"0x46b4cde357189e141ffe1beaea4036dfa4e3d193","0.06144466","No"
"0x473afab58b2c5d4dbc5fad5d236f6658ad84e83b","11000.58427469","No"
"0x4859141f4327042a4a30a18b25aa2f4f1f043308","1.3118148","No"
"0x4b224f6c115de2313b6272db1fd6b7b2bfe5915b","0.00208637","No"
"0x4b285583b9ca24685227fcb1c03ea1e77c4656d5","10.704977","No"
"0x4bf1fbc233cd6109c35a4cd9d34540173af3234c","6.04368288","No"
"0x4d0907d21de3bb9889cc4eb46dd3d8ed69350847","17.03990904","No"
"0x4d1dcf15acbc0b69aed7b0d87bda5cbc66c48184","104.26774954","No"
"0x51a23045db018780dd40c890c62368c187e8d179","0.83947322","No"
"0x51ab3dbf9a5089a85e6e3e8252df7c911078dd84","1549.58654843","No"
"0x52252839ab1f254e242c6b72639b22eb95363db0","1.17915543","No"
"0x525b41c72c4ea3af9fbd47ac8e9f1ac87364908a","22.64767293","No"
"0x537bf75de19f3d229e3a9018ee1a23c0c9c7d39c","0.13080773","No"
"0x55a5f913ae82c43f1d63f338a304a0d1af0f3ac0","59.46543856","No"
"0x568f71fd4642e6eeb52127c6911e2116c9bad1ac","1.56210205","No"
"0x572d4a84254bc77d47cdac768ba23415f9880634","1.28E-06","No"
"0x5892fe47a8dde5a51ba2c75c3760689c393323d9","0.00013288","No"
"0x58dc922892db192612bd8eebe8f7f43e9cff269a","0.00355128","No"
"0x5b049c3bef543a181a720dcc6febc9afdab5d377","1.58E-06","No"
"0x5e4774b93d012e0fe86655ddda16916b1988b274","0.0001077","No"
"0x5e8d405cbc564473d85a9a31fbfca76167d69978","2.217E-05","No"
"0x5e8fc6d59b9780f4f281378dc7230e8f8c939a36","0.00031143","No"
"0x5f303e3d5c220a49fba3f53e502eb4abd0be607a","35.03574212","No"
"0x5fb6e7e6cd299449a02fe47cccd5cb70ff9dc632","174.5520182","No"
