"HolderAddress","Balance","PendingBalanceUpdate"
"0x000f7f22bfc28d940d4b68e13213ab17cf107790","55298.06002372","No"
"0x00267ae86b3be61581dbd9a2c828d9797330de9a","74.85096842","No"
"0x00522a8237edf60abd3010705fdda0c63bdb42fe","4980.36722674","No"
"0x0056d1fd2ca3c0f3a7b6ed6cdd1f1f104b4bf9a9","498.79485279","No"
"0x0226c05fbb787a805154cf7e052104fa86e13f46","4440.25358902","No"
"0x02ab1b3a8ac8e1aa17756058e67ef68be0508a2d","2983.25488295","No"
"0x0381ad07585a5f17531526a59b45219a29f49ad4","149.25397052","No"
"0x039fea56eb82d434c1feff30ae016298de116d70","3.0391186","No"
"0x03c304dbba0335adb8726a384b0302371fa3b2f1","44.91047201","No"
"0x045ff4e5098b937a8448096004ad04cbcc997679","0.00387235","No"
"0x049397bd8325e0089decf676eb42c134ea65bb90","9390.13575128","No"
"0x0496e3d488ccf9aec556ba08da1286d8eba2d6cd","4.98801281","No"
"0x053b7f29bc6d95182f0e54efc86549938878647e","0.49971704","No"
"0x05547d4e1a2191b91510ea7fa8555a2788c70030","156273.78542559","No"
"0x0613e2c0e58e811e358c0e26b51842eeda05aed4","895.71569478","No"
"0x06190c81d222d1817ae8b0f42d9eb14f7181d07b","249.34462731","No"
"0x0656d8b7b1fcc09788f4a7b657b38a3a4eeb3f9b","8970.79183071","No"
"0x0788373603522a79fcc5710910c20067f64bad17","0.50131144","No"
"0x07b78c5a9e5050ca6b68487a86e465535913597d","99.93892308","No"
"0x084cec340ba97af2d4082be6bbc8cb3e50d04ae2","323.25707909","No"
"0x08a167a53b562b2143292b959e55a98edbfd484b","49.73104341","No"
"0x095acf6cabb2dbcced2072c7481ccb99e293ba1a","3983.95480324","No"
"0x096afa850faf919ea557d572241e201407b1b412","1320.72255871","No"
"0x0971b9fe7be1c7470a7f08c058c0879ac6c67986","174.15631929","No"
"0x0991d02f28a5283338e9591cbf7de2eb25da46cd","64697.16853667","No"
"0x09c4e3acfa2a60c508df5ba463ec1f8b463ffca6","24.92896378","No"
"0x09cf915e195af33fa7b932c253352ae9fbdb0106","21898.60052729","No"
"0x0ab4b2f1a5cf3d72206cc1415b8e88ef9c698423","0.00010714","No"
"0x0b39a46d9fe2f26ffe03c5f32fdf19541e1e92c8","26889.82984467","No"
"0x0c31b6605686aa26df47eb45af0e4aa6639a5fd6","13700.51901437","No"
"0x0c41df6a4c0eb4394efffa197602648c43311718","1728.08740314","No"
"0x0c4b47d7eb199e6ed3bf0af6fe2ab33df7faeeeb","0.25010265","No"
"0x0cc8a5b61482253860f7c551232c0244004af5ac","1242.47656183","No"
"0x0d23e2107fb2564343de28543545bcccc0b52574","299.0949785","No"
"0x0d4ddea3849c54e16c85cb4354943dc876e05552","0.04158938","No"
"0x0d598a9f3f90804afc5a194e0e59e6addae86f40","248.92083668","No"
"0x0eabffd8ce94ab2387fc44ba32642af0c58af433","3733.95213867","No"
"0x0f2e6990f1883e47a1c92aae5f69157556d72c30","5.815E-05","No"
"0x0f45156f109e474295913d78036fa213b1745d5a","74.7758048","No"
"0x0f763341b448bb0f02370f4037fe4a2c84c9283f","6229.0898405","No"
"0x0fd91ec685e67bfe92dc04be3b92c757a81cbfe5","13.91966694","No"
"0x0feb71d0bb297c2208c5fcfa4e73973349962d1d","12.45100379","No"
"0x0ffeb87106910eefc69c1902f411b431ffc424ff","33480.93556154","No"
"0x1074d44bdd446b224691c752b0e9f85c92c4d787","4.99999657","No"
"0x107ed30c3ba402eb01b652c5c19f03a25d7a8d5a","11661.3921403","No"
"0x108a8b7200d044bbbe95bef6f671baec5473e05f","126703.72868809","No"
"0x11556283a2c26babd9e920188ae17572fbabf5b2","249.24960536","No"
