"HolderAddress","Balance","PendingBalanceUpdate"
"0x008b1ffe244bf31896c833bff4ad9009e7a0f4eb","303778.65225452","No"
"0x02a0f1a59940dddb35a38327e93d7abb49e285b1","4996.04631651","No"
"0x03aa11f6f296f1d233a6ff9d49f47ea6c50e03cc","999.03950237","No"
"0x03d0a02da4e45d8dfce1f78a4de7a3fdb3db5f1e","19993.06271733","No"
"0x0430605323465e26dc21fbaaa9a1a4be6ae9d496","29058.85616743","No"
"0x044c53d8576d4d700e6327c954f88388ee03b8db","20077.43631104","No"
"0x05738078a66d8d2d16ef8075f215db6dc62b2b13","19991.26600648","No"
"0x07c8b4d7f1bc58f8780ea96e9ab68c840ba04eff","6248.87214567","No"
"0x08072a5fbc90eed1ca4fb863c1df8aa1fec61cfa","135938.26725521","No"
"0x08550bb0c9b73119e7a3a2f55d0200cd2d22dfb1","19992.26350315","No"
"0x09885349b029099404ebd2d9b6f6a1dbd2f84777","19999.17684667","No"
"0x0b13f13c0e99f24b96a835b787d1347b33d87776","499443.030963","No"
"0x0b432f998af4e5c1ccbe71f408d376387f668e50","24567.88149788","No"
"0x0c5a2c72c009252f0e7312f5a1ab87de02be6fbe","116782.17046051","No"
"0x0cc8a5b61482253860f7c551232c0244004af5ac","40640.23170686","No"
"0x0d598a9f3f90804afc5a194e0e59e6addae86f40","6642.18719471","No"
"0x0e74d9d5661b57e7e3b4a41a20a57b3b62be11ec","42747.58953368","No"
"0x0ecd7a07bacad3e762febbf50ce5e2b926777fac","5030.82472569","No"
"0x0f1025f754b3eb32ab3105127b563084bfa03a6f","35.43956077","No"
"0x0f45156f109e474295913d78036fa213b1745d5a","47063.45313633","No"
"0x1092361f4eafdc6e4555ee761e87ef9c67b9e42f","35841.51836652","No"
"0x114a4b3b0640e2b4235b0897ab343a26c97c8d14","2498.19272745","No"
"0x1178463f809657513bfaa2bb69dbef55d9f61e9d","24881.59986077","No"
"0x1333c53a798547126ca04647ba925485a6fa7aad","466382.1509276","No"
"0x133acc82d6eaaec2a12e7547835219860551c570","19997.79694027","No"
"0x1488ec6c55243e7130b756949b0238693c7e382b","19983.90466687","No"
"0x14b1b3ff91525dd00e8fb8ce000097ce7d1cb251","50189.98122117","No"
"0x1714a5badf44f9aade2e902eb083b80f6d4129a2","151117.06423304","No"
"0x17ea92d6ffbaa1c7f6b117c1e9d0c88abdc8b84c","190061.88310381","No"
"0x1884754f87901885c112c08f5276c4d66e1a8ffc","4998.01736385","No"
"0x18ca14cdfa4bf887eeb2dd5fc98a947ea43b8d29","49970.46505851","No"
"0x1aaf5e41c2c73617bc120097547a3410caf6718a","41150.56976465","No"
"0x1b0dcfd4c1df4d179e8ef07dd4963ceb40bed5f2","190481.72983832","No"
"0x1b724aeed33e678332821f7aa40a02be93438f07","19977.53278146","No"
"0x1b72bac3772050fdcaf468cce7e20deb3cb02d89","795482.31390178","No"
"0x1beb1715899a355dfca4c763080e88f35286d025","9583413.398501","No"
"0x1c11ecbba07f6f122fef22caec28daee5ed1c908","20460.80240363","No"
"0x1c62b0b014f053ae743f0546b4e5a544909758b3","59962.56827916","No"
"0x1d7eb7c343caad6cb949087b078ee974d556d6c3","1348.93254646","No"
"0x1d9e324e5fce00e6fa955e453e3d1aa1f43f33e6","118713.70319888","No"
"0x1f11e7a07c0fef9ca2801f087d62b9be73f23398","999.72141257","No"
"0x1fa02e36cb086f2a89adba718c65db7085d16756","35072.54766095","No"
"0x20e96532d2ed197e712e1173ffb53c23f522742b","19983.89737988","No"
"0x21c8ca3d08213f2f791a8bf83b13be7037ee453e","65940.94652223","No"
"0x221986f02459016c67503de58cd02be68c7ea651","19983.82716542","No"
"0x2226f49efe9f1b59b0243b54db33bb3f0b8b0679","74247.81738723","No"
"0x229229284c0ea7c2a898765a5652fc03f0e35293","161073.38583189","No"
"0x233b8c8e02b971e65cb24d82809cf60604c7e21c","10182.42088117","No"
"0x235942ed8daff3895b4c970fc6c27650d2f0f60b","30996.31986609","No"
"0x23b11ff67c2193b97cb37771d15a537b977d2278","165977.79094104","No"
"0x23b4483b7c551efa8955c7e35f8a5e38c6f1fe4a","39985.94873183","No"
"0x24d734a75166e66000c8d7f12a173e41358e3cc1","46007.54326279","No"
"0x263d6feb2ea6a7672b39f9556a6c1253c5bd816c","8455.86073623","No"
"0x268cb4c8b97da9d146702d84501a64f597a3aa14","3126268.68098519","No"
"0x26a6dc267e276fded7b40251c8fc08b1b40df367","25172.23561194","No"
"0x26e82901651bc97ce8af33e463e6f5a18388cf13","22493.90647388","No"
"0x26fd2fd29081f2fb9b6d653eeee96747c0a3b1b9","4997.86281061","No"
"0x28a55c4b4f9615fde3cdaddf6cc01fcf2e38a6b0","46898606.0927802","No"
"0x28dc992af9a4c1165c46cf65bd43389a3907dc30","20057.23269148","No"
"0x29846ad191d4d6f65448e1a081206f352fbdbb44","4994.93208022","No"
"0x298afe764ceade43ba80ac4390195e8d9451d6ef","114608.25648745","No"
"0x29b85a61bb0d0b30c77e0c182a09f8bbe6e85d53","34126.56645966","No"
"0x29f252dea643300b0b6bdd5cc8c79387c0a3d299","9994.20085432","No"
"0x2a46928b8d478808f3c66e50a403084e424d00bb","14995.12975856","No"
"0x2ae595eddb54f4234b10cd31fc00790e379fc6b1","449489.34508615","No"
"0x2b2040c819983ea23fa4012e108df648a3daf1ee","14987.74230721","No"
"0x2b95eecd56fd687828b472d2d010400ca612c2f5","19980.72985036","No"
"0x2d7229da33f0fc86b15cf0799b1cc52e86d668c0","35204.3577821","No"
"0x2e60d5f3af8eee7228da56704d23c031ac22d71b","9991.85402452","No"
"0x2ef869f0350b57d53478d701e3fee529bc911c75","2497.85482223","No"
"0x3001b30642f5296c3dc19e982410d795afeceec2","20018.64040808","No"
"0x3162f28fa49222baf67c369da4703df9d1ee0ee6","19994.26254525","No"
"0x340b83756ee482b1f5f2b3e0d5e265e7dc410475","19999.82203929","No"
"0x34c21644cac46882871bd1546227a754214d0dec","19998.66425385","No"
"0x34c4142a5cc81bbc3a5281c949c511548f2cd406","2497.57850719","No"
"0x38bca3a2678632b0a52c381010ca0b39ef202723","9999.96841505","No"
"0x39b42667233f89c6d596cb8e3e51ac52293c8fa1","19983.13720722","No"
"0x3cfecad11f3de1c2d67ec6fdf7fecdc38676f2c7","19984.15368135","No"
