"HolderAddress","Balance","PendingBalanceUpdate"
"0x0991d02f28a5283338e9591cbf7de2eb25da46cd","845670.86466855","No"
"0x0ba680ae4e6dfa47a8e2ff7f01ad0f4a289e3954","104994.53850024","No"
"0x0ebab19f412e1afd2b90842e5c632aa186a4f60d","110741.5","No"
"0x12378cea68163c1fdaa7e8cc653e112b2de07d92","34827.47287616","No"
"0x1488ec6c55243e7130b756949b0238693c7e382b","182298.15539105","No"
"0x18ca14cdfa4bf887eeb2dd5fc98a947ea43b8d29","38237.01385346","No"
"0x1d5e65a087ebc3d03a294412e46ce5d6882969f4","250000","No"
"0x21cf5649ee1a9362202ebff266ef7bbc8c26a917","147678.30186762","No"
"0x24c5907cf8104ab5efeec7fab3cb19dc8907adae","76035.06659936","No"
"0x26b3ef14a7c3dd0e4694da7dcdf299ee97fcaad7","48111146.843665","No"
"0x2ae595eddb54f4234b10cd31fc00790e379fc6b1","644217.26946669","No"
"0x2d7229da33f0fc86b15cf0799b1cc52e86d668c0","2499.99993728","No"
"0x33d3c029fd119ebb90df20c3427a97074637bf7c","13954.98503762","No"
"0x36837e2c2893b2d34fa80694b70eb53677aa6d4a","946256.92946016","No"
"0x3b5b5bd95867fbbc6fee07edd1d4affe3b0425a4","30266.63151742","No"
"0x40cd550da38123978ed25826bbc22935a3553c15","258778.5","No"
"0x43bf99d656be7c354b26e63f01f18fab88714d64","16439915.1453784","No"
"0x477573f212a7bdd5f7c12889bd1ad0aa44fb82aa","110300984.005222","No"
"0x535faa541252d9650f1f8a8bbd88709fb8b55a1b","6049.38330073","No"
"0x5812602b6427e3dae54df18188bd78e428ca9184","12166.875","No"
"0x5b7e236cea1454dd7af347c2fc003888a5404a7a","0.52930194","No"
"0x60bcc383a3acc668310d44c1ed6beb33104e2b0d","22499.99985139","No"
"0x63252d7ed07cd0de190b52861f7dc691e2b86983","23938.79188794","No"
"0x6e43511728f45a3574495896bcf7c9a276e0223c","38042.6106","No"
"0x6e61a82ab503fa43935a9968e302c32d12f17cba","112507.85709273","No"
"0x76918841298c0eecf0fe9409cdad3000320666ed","6764.15","No"
"0x7a5509e03b1a9d75a4106900f5a014888833dc91","6590.17162439","No"
"0x7ae3af6f8c3c792e701a0343064579ecdbdbcd27","10173.72446155","No"
"0x7d08394ae1cccc82728e9c01648f37eaa1de8466","18898.64290948","No"
"0xabd252cfbae138043e4fb5e667b489710964d572","23499.9381","No"
"0xb9b1bad1bd633ac448c06433cf2454b57144512a","9999.97730156","No"
"0xc0afef712a1341ca78da145b2afad346e8c3574f","26827.2284912","No"
"0xcc98cfdc5f5480d8dd0a0d0a7f80506eb30d5159","163013.01645734","No"
"0xcd5a702cd4220047eab279f40ca279dc9841086a","217111.1","No"
"0xcd8973714c2b67f67145e3556436ef6b2c49a33f","78801.26876958","No"
"0xce2a3294f800b1bf9a907db3c7e377cf9486a456","6199669.04676782","No"
"0xd3aecf9e0856822bd320873e905ae9f78a2977e7","6118.20579058","No"
"0xd43dce6fae4845fab31315844fa502d49a599937","31555.4885016","No"
"0xd6464a34847188540eb0860d660866f732c38744","7722.66425808","No"
"0xd72708e95577f80056fd6a44ec30d644b5a86486","420620.04445934","No"
"0xe04ff7f17305db881d30bcf109c3db0103c5c8b3","27394.79978307","No"
"0xe3fed2e2e55bcb29a007a6cc27740669a9f40441","296331.1284983","No"
"0xf05f045f9fb915449d99ae0604d5339f7735d5e0","2154.86035","No"
"0xf13dfccdf953940851b0a19aa9d1fd15e80af486","20460.49962154","No"
